name,qid,filename,file_page,author,license,source,image_url,_saved_path
David Raya,Q19665907,RC Lens - Arsenal FC (03-10-2023) 21 (cropped).jpg,https://commons.wikimedia.org/wiki/File:RC Lens - Arsenal FC (03-10-2023) 21 (cropped).jpg,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Supporterh%C3%A9ninois&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Supporterhéninois (page does not exist)"">Supporterhéninois</a>",CC0 (http://creativecommons.org/publicdomain/zero/1.0/deed.en),player,https://commons.wikimedia.org/wiki/Special:FilePath/RC%20Lens%20-%20Arsenal%20FC%20%2803-10-2023%29%2021%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/RC Lens - Arsenal FC (03-10-2023) 21 (cropped).jpg
Eberechi Eze,Q28445512,Qpr2018eberechieeze001.jpg,https://commons.wikimedia.org/wiki/File:Qpr2018eberechieeze001.jpg,"<a href=""https://en.wikipedia.org/wiki/User:Jrppezza"" class=""extiw"" title=""en:User:Jrppezza"">Jrppezza</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Qpr2018eberechieeze001.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Qpr2018eberechieeze001.jpg
Kepa Arrizabalaga,Q3195361,Kepa Arrizabalaga 2021 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Kepa Arrizabalaga 2021 (cropped).jpg,Vyacheslav Evdokimov,CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Kepa%20Arrizabalaga%202021%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Kepa Arrizabalaga 2021 (cropped).jpg
Viktor Gyökeres,Q47075606,Viktor Gyökeres 2018.jpg,https://commons.wikimedia.org/wiki/File:Viktor Gyökeres 2018.jpg,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/37972999@N07"">James Boyes</a> from UK",CC BY 2.0 (https://creativecommons.org/licenses/by/2.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Viktor%20Gy%C3%B6keres%202018.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Viktor Gyökeres 2018.jpg
Christian Nørgaard,Q5109980,Christian Nørgaard 2 -HSV.jpg,https://commons.wikimedia.org/wiki/File:Christian Nørgaard 2 -HSV.jpg,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Fremdeles&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Fremdeles (page does not exist)"">Britta Zimmermann</a>",CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Christian%20N%C3%B8rgaard%202%20-HSV.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Christian Nørgaard 2 -HSV.jpg
Leandro Trossard,Q6509762,Leandro Trossard warming-up Nations League 2021 Italy.jpg,https://commons.wikimedia.org/wiki/File:Leandro Trossard warming-up Nations League 2021 Italy.jpg,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Wackotaku&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Wackotaku (page does not exist)"">Wackotaku</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Leandro%20Trossard%20warming-up%20Nations%20League%202021%20Italy.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Leandro Trossard warming-up Nations League 2021 Italy.jpg
Noni Madueke,Q66801705,Fulham v Chelsea 20042025 (7) (Noni Madueke).jpg,https://commons.wikimedia.org/wiki/File:Fulham v Chelsea 20042025 (7) (Noni Madueke).jpg,"<a href=""//commons.wikimedia.org/wiki/User:Timmy96"" title=""User:Timmy96"">Timmy96</a>",CC0 (http://creativecommons.org/publicdomain/zero/1.0/deed.en),player,https://commons.wikimedia.org/wiki/Special:FilePath/Fulham%20v%20Chelsea%2020042025%20%287%29%20%28Noni%20Madueke%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Fulham v Chelsea 20042025 (7) (Noni Madueke).jpg
Mikel Merino,Q17612631,1 mikel merino arsenal 2025 (cropped).jpg,https://commons.wikimedia.org/wiki/File:1 mikel merino arsenal 2025 (cropped).jpg,"<a href=""//commons.wikimedia.org/wiki/User:Chensiyuan"" title=""User:Chensiyuan"">Chensiyuan</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/1%20mikel%20merino%20arsenal%202025%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/1 mikel merino arsenal 2025 (cropped).jpg
Kai Havertz,Q27310755,"2019-06-11 Fußball, Männer, Länderspiel, Deutschland-Estland StP 2059 LR10 by Stepro.jpg","https://commons.wikimedia.org/wiki/File:2019-06-11 Fußball, Männer, Länderspiel, Deutschland-Estland StP 2059 LR10 by Stepro.jpg","<a href=""//commons.wikimedia.org/wiki/User:Stepro"" title=""User:Stepro"">Steffen Prößdorf</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/2019-06-11%20Fu%C3%9Fball%2C%20M%C3%A4nner%2C%20L%C3%A4nderspiel%2C%20Deutschland-Estland%20StP%202059%20LR10%20by%20Stepro.jpg?width=800,/Users/mzahariev/footballspinner/public/players/2019-06-11 Fußball Männer Länderspiel Deutschland-Estland StP 2059 LR10 by Stepro.jpg
Cristhian Mosquera,Q110458872,silhouette-player.png,,Wikimedia contributor,CC,fallback,/img/silhouette-player.png,
